ID	Point	Hemisphere	Tract	FA	SD
subject1	1	L	CST	0.4375	0.1185
subject1	2	L	CST	0.4806	0.1111
subject1	3	L	CST	0.5078	0.1226
subject1	4	L	CST	0.5421	0.1050
subject1	5	L	CST	0.5564	0.1172
subject1	6	L	CST	0.5639	0.1262
subject1	7	L	CST	0.5856	0.1189
subject1	8	L	CST	0.6113	0.0975
subject1	9	L	CST	0.6159	0.0943
subject1	10	L	CST	0.6261	0.0945
subject1	11	L	CST	0.6312	0.0867
subject1	12	L	CST	0.6207	0.0954
subject1	13	L	CST	0.6204	0.1010
subject1	14	L	CST	0.6166	0.1092
subject1	15	L	CST	0.6175	0.1116
subject1	16	L	CST	0.6168	0.1155
subject1	17	L	CST	0.6213	0.1187
subject1	18	L	CST	0.6283	0.1187
subject1	19	L	CST	0.6489	0.1011
subject1	20	L	CST	0.6393	0.1003
subject1	21	L	CST	0.6500	0.0939
subject1	22	L	CST	0.6611	0.0940
subject1	23	L	CST	0.6779	0.0996
subject1	24	L	CST	0.6855	0.1024
subject1	25	L	CST	0.7024	0.0995
subject1	26	L	CST	0.7055	0.0936
subject1	27	L	CST	0.7145	0.0788
subject1	28	L	CST	0.7142	0.0873
subject1	29	L	CST	0.7183	0.0957
subject1	30	L	CST	0.7211	0.0968
subject1	31	L	CST	0.7149	0.0931
subject1	32	L	CST	0.7270	0.0961
subject1	33	L	CST	0.7288	0.0729
subject1	34	L	CST	0.7305	0.0735
subject1	35	L	CST	0.7289	0.0805
subject1	36	L	CST	0.7121	0.0877
subject1	37	L	CST	0.7004	0.0797
subject1	38	L	CST	0.6992	0.0849
subject1	39	L	CST	0.7041	0.0844
subject1	40	L	CST	0.7101	0.0770
subject1	41	L	CST	0.7211	0.0733
subject1	42	L	CST	0.7120	0.0714
subject1	43	L	CST	0.7010	0.0595
subject1	44	L	CST	0.7002	0.0451
subject1	45	L	CST	0.6927	0.0409
subject1	46	L	CST	0.6772	0.0407
subject1	47	L	CST	0.6811	0.0443
subject1	48	L	CST	0.6840	0.0452
subject1	49	L	CST	0.6479	0.0440
subject1	50	L	CST	0.6297	0.0435
subject1	51	L	CST	0.5900	0.0465
subject1	52	L	CST	0.5790	0.0419
subject1	53	L	CST	0.5942	0.0487
subject1	54	L	CST	0.6086	0.0495
subject1	55	L	CST	0.6195	0.0401
subject1	56	L	CST	0.6089	0.0428
subject1	57	L	CST	0.5882	0.0419
subject1	58	L	CST	0.5669	0.0458
subject1	59	L	CST	0.5299	0.0534
subject1	60	L	CST	0.5060	0.0472
subject1	61	L	CST	0.4952	0.0404
subject1	62	L	CST	0.4986	0.0399
subject1	63	L	CST	0.5006	0.0378
subject1	64	L	CST	0.4877	0.0322
subject1	65	L	CST	0.4711	0.0330
subject1	66	L	CST	0.4380	0.0511
subject1	67	L	CST	0.4166	0.0518
subject1	68	L	CST	0.4175	0.0609
subject1	69	L	CST	0.4240	0.0714
subject1	70	L	CST	0.4505	0.0890
subject1	71	L	CST	0.4749	0.0972
subject1	72	L	CST	0.4947	0.0880
subject1	73	L	CST	0.5128	0.0798
subject1	74	L	CST	0.5334	0.0742
subject1	75	L	CST	0.5609	0.0726
subject1	76	L	CST	0.5836	0.0716
subject1	77	L	CST	0.6011	0.0644
subject1	78	L	CST	0.6185	0.0721
subject1	79	L	CST	0.6345	0.0687
subject1	80	L	CST	0.6533	0.0648
subject1	81	L	CST	0.6559	0.0647
subject1	82	L	CST	0.6322	0.0807
subject1	83	L	CST	0.6174	0.0865
subject1	84	L	CST	0.6024	0.0827
subject1	85	L	CST	0.5782	0.0794
subject1	86	L	CST	0.5692	0.0803
subject1	87	L	CST	0.5624	0.0991
subject1	88	L	CST	0.5764	0.1265
subject1	89	L	CST	0.5773	0.1356
subject1	90	L	CST	0.5398	0.1253
subject1	91	L	CST	0.5552	0.1393
subject1	92	L	CST	0.5145	0.1587
subject1	93	L	CST	0.4844	0.1387
subject1	94	L	CST	0.4518	0.1607
subject1	95	L	CST	0.3824	0.1681
subject1	96	L	CST	0.3435	0.1682
subject1	97	L	CST	0.2360	0.1541
